2524,360.416
1600,229.914
730,150.125
1730,132.013
3000,439.210
1985,399.290
1534,214.550
1427,100.974
1380,112.500
1494,142.510
1940,139.911
2000,287.148
1890,229.149
4478,599.134
1268,159.159
2300,349.146
1320,199.145
636,60.456
2609,399.145
303,110.145
2767,252.159
1888,155.415
2604,242.158
4562,459.145
3890,473.197
1100,219.146
2458,344.189
2526,219.145
2200,230.489
2637,279.546
1839,249.145
500,109.159
2040,214.124
3137,479.247
1811,185.237
1437,149.240
1239,129.900
2132,245.100
4215,449.570
462,80.70
1664,268.500
2238,229.954
2567,214.870
1200,199.045
1852,199.900
1203,139.500
1638,284.900
727,108.458
4380,412.070
1684,152.578
240,78.589
2000,297.700
2756,429.579
3978,583.257
1378,147.900
2159,326.200
1789,259.250
1965,155.786
2898,368.998
3286,488.000
1897,167.900
1259,122.250
1834,182.860
2162,193.852
4290,473.256
1350,175.678
1658,294.860
2926,392.100
2214,375.250
3637,368.123
2039,289.851
1125,179.128
3140,292.615
3541,510.253
925,92.259
